iter	Passed	Remaining
418	2358	3271
419	2364	3264
420	2368	3257
421	2374	3251
422	2379	3245
423	2384	3239
424	2390	3233
425	2395	3227
426	2400	3221
427	2405	3214
428	2410	3208
429	2415	3202
430	2420	3195
431	2425	3189
432	2431	3183
433	2436	3177
434	2441	3171
435	2446	3164
436	2451	3158
437	2456	3152
438	2461	3146
439	2466	3139
440	2472	3133
441	2477	3127
442	2482	3121
443	2487	3115
444	2492	3108
445	2498	3103
446	2503	3096
447	2508	3091
448	2513	3084
449	2518	3078
450	2523	3072
451	2529	3066
452	2534	3059
453	2539	3054
454	2544	3048
455	2549	3042
456	2555	3035
457	2560	3029
458	2565	3023
459	2570	3017
460	2576	3012
461	2581	3005
462	2586	2999
463	2591	2993
464	2596	2987
465	2601	2981
466	2606	2975
467	2611	2969
468	2617	2963
469	2622	2957
470	2627	2950
471	2632	2944
472	2637	2938
473	2642	2932
474	2648	2926
475	2653	2921
476	2659	2915
477	2664	2909
478	2669	2903
479	2674	2897
480	2679	2891
481	2685	2885
482	2690	2879
483	2695	2873
484	2701	2868
485	2706	2862
486	2711	2856
487	2716	2849
488	2721	2843
489	2726	2838
490	2732	2832
491	2737	2826
492	2742	2820
493	2748	2814
494	2753	2808
495	2758	2802
496	2763	2797
497	2768	2791
498	2776	2787
499	2781	2781
500	2787	2776
501	2792	2770
502	2799	2766
503	2807	2762
504	2813	2757
505	2820	2753
506	2827	2749
507	2837	2748
508	2845	2744
509	2852	2740
510	2857	2734
511	2864	2729
512	2870	2724
513	2875	2719
514	2881	2713
515	2887	2708
516	2892	2702
517	2899	2697
518	2904	2691
519	2910	2686
520	2916	2681
521	2922	2675
522	2927	2669
523	2933	2664
524	2938	2659
525	2944	2653
526	2950	2648
527	2955	2642
528	2962	2637
529	2968	2632
530	2974	2626
531	2979	2621
532	2985	2615
533	2992	2611
534	3002	2609
535	3012	2607
536	3023	2607
537	3033	2604
538	3042	2602
539	3049	2597
540	3055	2592
541	3060	2586
542	3066	2580
543	3071	2574
544	3077	2569
545	3083	2563
546	3089	2558
547	3094	2552
548	3100	2546
549	3105	2540
550	3111	2535
551	3116	2529
552	3121	2523
553	3127	2517
554	3133	2512
555	3138	2506
556	3144	2501
557	3152	2497
558	3158	2491
559	3164	2486
560	3169	2480
561	3175	2474
562	3180	2468
563	3185	2462
564	3190	2456
565	3196	2450
566	3201	2444
567	3206	2438
568	3211	2432
569	3216	2426
570	3221	2420
571	3227	2414
572	3232	2408
573	3237	2402
574	3242	2396
575	3248	2391
576	3253	2385
577	3258	2379
578	3264	2373
579	3269	2367
580	3274	2361
581	3280	2355
582	3285	2350
583	3290	2344
584	3296	2338
585	3301	2332
586	3306	2326
587	3311	2320
588	3316	2314
589	3322	2308
590	3327	2302
591	3332	2296
592	3339	2292
593	3344	2286
594	3349	2280
595	3355	2274
596	3360	2268
597	3365	2262
598	3371	2256
599	3376	2251
600	3382	2245
601	3387	2239
602	3392	2233
603	3398	2227
604	3403	2222
605	3408	2216
606	3414	2210
607	3419	2204
608	3424	2198
609	3430	2193
610	3435	2187
611	3444	2183
612	3455	2181
613	3465	2178
614	3472	2173
615	3479	2168
616	3484	2163
617	3490	2157
618	3495	2151
619	3502	2146
620	3511	2143
621	3521	2139
622	3532	2137
623	3541	2134
624	3551	2130
625	3558	2126
626	3569	2123
627	3578	2119
628	3588	2116
629	3596	2112
630	3601	2106
631	3607	2100
632	3616	2097
633	3624	2092
634	3629	2086
635	3636	2081
636	3645	2077
637	3650	2071
638	3657	2066
639	3667	2062
640	3677	2059
641	3686	2055
642	3695	2052
643	3705	2048
644	3715	2044
645	3724	2040
646	3733	2036
647	3738	2030
648	3746	2026
649	3751	2020
650	3757	2014
651	3764	2009
652	3770	2003
653	3779	1999
654	3788	1995
655	3796	1990
656	3806	1987
657	3816	1983
658	3825	1979
659	3834	1975
660	3845	1972
661	3853	1967
662	3863	1963
663	3873	1960
664	3883	1956
665	3890	1951
666	3897	1945
667	3904	1940
668	3913	1936
669	3919	1930
670	3925	1924
671	3935	1920
672	3946	1917
673	3957	1914
674	3967	1910
675	3986	1910
676	3998	1907
677	4008	1903
678	4019	1900
679	4027	1895
680	4038	1891
681	4048	1887
682	4058	1883
683	4067	1879
684	4075	1874
685	4085	1869
686	4094	1865
687	4100	1859
688	4109	1854
689	4116	1849
690	4123	1844
691	4129	1837
692	4135	1831
693	4145	1827
694	4152	1822
695	4161	1817
696	4168	1812
697	4176	1806
698	4184	1801
699	4194	1797
700	4204	1793
701	4214	1788
702	4219	1782
703	4226	1777
704	4233	1771
705	4242	1766
706	4248	1760
707	4256	1755
708	4261	1748
709	4267	1743
710	4273	1737
711	4279	1731
712	4285	1724
713	4291	1718
714	4296	1712
715	4302	1706
716	4309	1700
717	4315	1694
718	4321	1688
719	4328	1683
720	4336	1678
721	4345	1673
722	4352	1667
723	4361	1662
724	4368	1657
725	4373	1650
726	4378	1644
727	4383	1637
728	4392	1632
729	4398	1626
730	4408	1622
731	4416	1616
732	4426	1612
733	4435	1607
734	4445	1602
735	4454	1597
736	4462	1592
737	4469	1586
738	4479	1581
739	4486	1576
740	4491	1570
741	4496	1563
742	4501	1557
743	4506	1550
744	4512	1544
745	4517	1538
746	4522	1531
747	4528	1525
748	4533	1519
749	4539	1513
750	4544	1506
751	4549	1500
752	4554	1494
753	4560	1487
754	4565	1481
755	4570	1475
756	4575	1468
757	4580	1462
758	4586	1456
759	4591	1449
760	4596	1443
761	4601	1437
762	4606	1430
763	4611	1424
764	4617	1418
765	4622	1411
766	4627	1405
767	4632	1399
768	4638	1393
769	4643	1386
770	4648	1380
771	4653	1374
772	4658	1368
773	4664	1361
774	4669	1355
775	4674	1349
776	4679	1342
777	4684	1336
778	4689	1330
779	4694	1324
780	4699	1317
781	4705	1311
782	4710	1305
783	4715	1299
784	4720	1292
785	4725	1286
786	4732	1280
787	4738	1274
788	4743	1268
789	4748	1262
790	4753	1256
791	4758	1249
792	4764	1243
793	4769	1237
794	4775	1231
795	4782	1225
796	4788	1219
797	4795	1213
798	4800	1207
799	4806	1201
800	4814	1196
801	4822	1190
802	4827	1184
803	4833	1178
804	4838	1172
805	4848	1166
806	4858	1161
807	4865	1156
808	4870	1149
809	4876	1143
810	4885	1138
811	4890	1132
812	4896	1126
813	4902	1120
814	4911	1114
815	4920	1109
816	4926	1103
817	4931	1097
818	4937	1091
819	4942	1085
820	4955	1080
821	4967	1075
822	4977	1070
823	4987	1065
824	4993	1059
825	4998	1052
826	5007	1047
827	5013	1041
828	5019	1035
829	5028	1029
830	5035	1024
831	5041	1017
832	5049	1012
833	5055	1006
834	5062	1000
835	5067	994
836	5073	988
837	5079	981
838	5085	975
839	5091	969
840	5096	963
841	5106	958
842	5115	952
843	5121	946
844	5127	940
845	5133	934
846	5142	928
847	5152	923
848	5157	917
849	5163	911
850	5172	905
851	5179	899
852	5185	893
853	5190	887
854	5196	881
855	5205	875
856	5214	870
857	5221	864
858	5228	858
859	5237	852
860	5247	847
861	5254	841
862	5259	834
863	5268	829
864	5277	823
865	5283	817
866	5292	811
867	5299	805
868	5304	799
869	5314	794
870	5320	788
871	5326	781
872	5333	775
873	5340	769
874	5345	763
875	5350	757
876	5355	751
877	5363	745
878	5370	739
879	5376	733
880	5384	727
881	5393	721
882	5403	715
883	5410	709
884	5415	703
885	5420	697
886	5428	691
887	5437	685
888	5444	679
889	5451	673
890	5457	667
891	5463	661
892	5470	655
893	5476	649
894	5481	643
895	5489	637
896	5495	631
897	5500	624
898	5506	618
899	5515	612
900	5523	606
901	5532	601
902	5537	594
903	5542	588
904	5549	582
905	5554	576
906	5560	570
907	5565	563
908	5571	557
909	5581	552
910	5587	545
911	5596	539
912	5601	533
913	5607	527
914	5613	521
915	5620	515
916	5627	509
917	5636	503
918	5642	497
919	5648	491
920	5653	484
921	5659	478
922	5664	472
923	5669	466
924	5674	460
925	5680	453
926	5685	447
927	5691	441
928	5697	435
929	5707	429
930	5716	423
931	5727	417
932	5734	411
933	5741	405
934	5749	399
935	5757	393
936	5766	387
937	5776	381
938	5785	375
939	5795	369
940	5804	363
941	5812	357
942	5821	351
943	5828	345
944	5838	339
945	5845	333
946	5852	327
947	5859	321
948	5865	315
949	5874	309
950	5882	303
951	5888	296
952	5897	290
953	5906	284
954	5915	278
955	5922	272
956	5927	266
957	5939	260
958	5948	254
959	5957	248
960	5966	242
961	5976	236
962	5986	230
963	5995	223
964	6004	217
965	6013	211
966	6022	205
967	6029	199
968	6038	193
969	6046	187
970	6051	180
971	6059	174
972	6068	168
973	6074	162
974	6081	155
975	6087	149
976	6098	143
977	6106	137
978	6113	131
979	6120	124
980	6125	118
981	6130	112
982	6135	106
983	6141	99
984	6146	93
985	6151	87
986	6156	81
987	6161	74
988	6167	68
989	6172	62
990	6177	56
991	6183	49
992	6188	43
993	6193	37
994	6198	31
995	6203	24
996	6209	18
997	6214	12
998	6219	6
999	6224	0
