Actual test,Predicted_value
25,92.88374616986475
123,94.95147588598067
40,121.04135965697282
9,102.3709766320437
80,118.66955204142806
164,92.70129943020746
17,100.54650923547084
83,104.68196866770269
58,93.4310863888366
241,99.33019763775559
210,95.55963168483831
28,85.95077006288781
895,119.33852342017147
4,82.97080664848545
27,79.56513417488276
17,102.00608315272913
23,89.41725811637629
108,120.79809733742977
16,95.43800052506677
41,98.90448857855525
71,111.49331361490809
25,100.6073248153566
255,93.85679544803696
23,112.58799405285183
38,102.24934547227218
6,101.76282083318608
111,108.14845672119115
52,89.41725811637629
63,95.92452516415288
152,100.24243133604202
13,95.37718494518101
11,110.94597339593622
18,97.62736140095423
43,107.9051944016481
2,84.67364288528681
75,108.93905925970606
59,120.61565059777249
31,92.88374616986475
43,95.62044726472406
3,112.52717847296606
162,103.64810380964472
182,81.93694179042748
16,90.51193855432001
84,91.42417225260645
196,85.3426142640302
28,114.47327702931045
254,92.3364059508929
20,102.3709766320437
37,82.2410196898563
5,95.80289400438136
114,119.21689226039993
7,105.22930888667454
57,107.72274766199081
140,90.93764761352034
3,86.68055702151696
57,98.84367299866949
64,108.93905925970606
17,87.04545050083155
12,89.96459833534814
124,96.5326809630105
71,99.08693531821254
4,89.29562695660476
61,95.43800052506677
2,101.5803740935288
106,84.49119614562952
163,93.97842660780847
59,99.39101321764134
29,89.78215159569086
79,91.42417225260645
15,98.84367299866949
79,92.3364059508929
152,101.76282083318608
260,93.67434870837967
12,98.41796393946915
10,98.60041067912644
11,79.50431859499699
31,105.04686214701726
11,108.99987483959183
90,99.20856647798405
82,102.97913243090133
62,91.91069689169255
266,87.10626608071732
170,104.43870634815963
34,89.29562695660476
83,90.14704507500544
78,106.9321451234759
100,103.0399480107871
35,96.5326809630105
29,111.25005129536504
25,109.30395273902064
19,92.6404838503217
39,87.34952840026037
36,101.5803740935288
74,100.12080017627049
48,95.13392262563796
30,81.14633925191258
23,90.32949181466273
3,96.65431212278203
305,118.00058066268468
2,107.29703860279048
213,117.57487160348435
85,101.33711177398575
63,84.12630266631494
149,94.46495124689457
5,96.04615632392441
22,93.00537732963627
169,91.30254109283493
21,114.41246144942468
61,112.83125637239488
42,80.59899903294072
33,119.64260131960029
113,85.40342984391596
7,91.72825015203526
49,85.09935194448715
93,94.70821356643762
75,102.61423895158677
29,90.14704507500544
70,102.91831685101558
61,122.25767125468806
3,90.14704507500544
90,108.27008788096268
60,83.63977802722884
172,81.32878599156987
67,87.7752374594607
72,104.80359982747422
117,96.5326809630105
70,78.89616279613936
2,101.94526757284336
239,95.74207842449559
145,91.60661899226375
6,93.18782406929355
6,99.69509111707015
123,88.56583999797562
170,80.23410555362614
104,110.21618643730707
2,119.82504805925757
50,92.3364059508929
56,93.97842660780847
63,98.78285741878372
56,103.70891938953048
95,102.85750127112982
185,86.86300376117427
45,106.56725164416133
29,93.18782406929355
39,88.80910231751866
97,95.43800052506677
180,120.12912595868639
54,88.14013093877527
74,104.62115308781692
47,101.76282083318608
12,112.89207195228065
9,96.77594328255356
38,88.80910231751866
85,90.63356971409154
30,90.51193855432001
42,105.22930888667454
21,97.5057302411827
83,89.90378275546239
2,104.4995219280454
106,100.24243133604202
11,96.59349654289628
132,95.74207842449559
24,112.58799405285183
146,87.71442187957493
48,110.58107991662166
73,102.79668569124405
2,102.91831685101558
7,96.10697190381018
19,85.70750774334476
6,119.03444552074265
61,116.48019116554062
90,81.38960157145563
216,104.37789076827387
70,94.76902914632339
3,112.89207195228065
159,92.09314363134985
114,102.91831685101558
5,89.11318021694748
97,78.53126931682479
7,99.33019763775559
90,112.95288753216639
76,102.553423371701
4,83.03162222837122
17,90.08622949511968
74,115.99366652645452
8,94.46495124689457
105,93.00537732963627
187,102.97913243090133
299,120.37238827822944
199,89.234811376719
864,119.09526110062842
47,96.71512770266779
145,85.95077006288781
26,95.92452516415288
29,113.98675239022435
100,88.93073347729018
15,82.48428200939935
65,88.44420883820408
