"reported_by","years","updated_on_day","total_reporting_time_taken_hh_mm_ss","min_reporting_time_taken_hh_mm_ss","avg_reporting_time_taken_hh_mm_ss","max_reporting_time_taken_hh_mm_ss","count_of_xrays"
"Dr_Prajakta_Pawnikar","2019","Saturday ","03:31:23","00:06:28","00:52:50.75","01:09:30","4"
"Dr_Prajakta_Pawnikar","2019","Sunday   ","02:44:10","02:44:10","02:44:10","02:44:10","1"
"Dr_Prajakta_Pawnikar","2019","Thursday ","07:21:48","00:03:44","01:03:06.857143","02:34:32","7"
"Dr_Prajakta_Pawnikar","2019","Tuesday  ","15:32:00","03:02:57","03:06:24","03:11:52","5"
"Dr_Prajakta_Pawnikar","2019","Wednesday","10:32:02","02:55:07","03:30:40.666667","04:36:30","3"
"Dr_Prajakta_Pawnikar","2020","Friday   ","87:26:01","00:01:41","02:11:09.025","17:28:26","40"
"Dr_Prajakta_Pawnikar","2020","Monday   ","140:28:47","00:03:43","02:18:10.606557","18:43:40","61"
"Dr_Prajakta_Pawnikar","2020","Saturday ","105:07:40","00:02:41","02:50:28.648649","15:38:44","37"
"Dr_Prajakta_Pawnikar","2020","Sunday   ","149:20:48","00:06:45","05:31:52.888889","19:50:12","27"
"Dr_Prajakta_Pawnikar","2020","Thursday ","89:18:52","00:02:15","02:07:35.52381","11:56:03","42"
"Dr_Prajakta_Pawnikar","2020","Tuesday  ","80:39:25","00:05:16","02:26:38.939394","14:07:38","33"
"Dr_Prajakta_Pawnikar","2020","Wednesday","88:55:33","00:00:00","02:32:26.657143","14:24:54","35"
"Dr_Rakesh_Jain","2019","Monday   ","03:53:20","00:34:40","01:17:46.666667","02:37:19","3"
"Dr_Rakesh_Jain","2019","Wednesday","01:26:27","01:26:27","01:26:27","01:26:27","1"
"Dr_Rathod","2019","Thursday ","02:16:18","02:16:18","02:16:18","02:16:18","1"
"Dr_Ravi_Chavan","2020","Friday   ","09:57:45","00:18:23","01:25:23.571429","02:22:01","7"
"Dr_Ravi_Chavan","2020","Monday   ","41:47:34","00:01:08","00:51:10.489796","02:33:32","49"
"Dr_Ravi_Chavan","2020","Saturday ","03:31:41","00:39:30","00:52:55.25","01:12:38","4"
"Dr_Ravi_Chavan","2020","Sunday   ","01:29:47","00:07:25","00:44:53.5","01:22:22","2"
"Dr_Ravi_Chavan","2020","Thursday ","01:19:54","00:19:36","00:39:57","01:00:18","2"
"Dr_Ravi_Chavan","2020","Tuesday  ","03:01:26","00:06:32","00:45:21.5","01:20:15","4"
"Dr_Ravi_Chavan","2020","Wednesday","00:28:47","00:09:56","00:14:23.5","00:18:51","2"
"Dr_Roopesh_Deshmukh","2020","Friday   ","19:11:13","01:19:58","06:23:44.333333","11:26:34","3"
"Dr_Roopesh_Deshmukh","2020","Monday   ","01:20:50","00:34:04","00:40:25","00:46:46","2"
"Dr_Roopesh_Deshmukh","2020","Saturday ","01:44:23","00:06:40","00:34:47.666667","00:54:50","3"
"Dr_Roopesh_Deshmukh","2020","Thursday ","05:11:10","01:40:47","01:43:43.333333","01:45:50","3"
"Dr_Swapnil_Ingole","2020","Monday   ","00:15:47","00:15:47","00:15:47","00:15:47","1"
"Dr_Swapnil_Ingole","2020","Saturday ","02:37:54","00:03:50","00:52:38","01:18:06","3"
"Dr_Swapnil_Ingole","2020","Thursday ","00:02:06","00:02:06","00:02:06","00:02:06","1"
"Dr_Swapnil_Ingole","2020","Wednesday","09:44:50","01:32:00","01:56:58","02:54:38","5"
"Dr_Vishal_Shah","2019","Friday   ","00:35:22","00:35:22","00:35:22","00:35:22","1"
"Dr_Vishal_Shah","2019","Thursday ","13:06:16","00:43:03","06:33:08","12:23:13","2"
"Dr_Vishal_Shah","2019","Tuesday  ","03:20:12","00:41:49","01:40:06","02:38:23","2"
"Dr_Vishal_Shah","2019","Wednesday","05:11:18","00:26:15","01:17:49.5","03:03:23","4"
"Dr_Vishal_Shah","2020","Friday   ","03:08:04","00:05:26","00:37:36.8","01:05:52","5"
"Dr_Vishal_Shah","2020","Monday   ","48:35:24","00:01:38","04:51:32.4","21:27:49","10"
"Dr_Vishal_Shah","2020","Saturday ","04:39:50","00:10:49","01:09:57.5","02:42:55","4"
"Dr_Vishal_Shah","2020","Sunday   ","15:46:59","01:08:57","03:56:44.75","11:59:02","4"
"Dr_Vishal_Shah","2020","Thursday ","23:39:22","00:01:57","05:54:50.5","14:04:39","4"
"Dr_Vishal_Shah","2020","Tuesday  ","02:00:48","00:01:37","00:30:12","01:30:33","4"
"Dr_Vishal_Shah","2020","Wednesday","16:29:16","00:25:02","02:44:52.666667","09:22:09","6"
