bifurcations,created_on_converted_to_minutes,total_time_elapsed_in_minutes
0-100,36,547
0-100,36,548
0-100,36,552
0-100,36,540
0-100,36,777
0-100,35,641
0-100,35,605
0-100,34,712
0-100,34,627
0-100,34,621
0-100,33,602
0-100,33,604
0-100,33,606
0-100,33,603
0-100,33,607
0-100,33,606
0-100,32,501
0-100,32,569
0-100,32,502
0-100,31,544
0-100,29,543
0-100,29,556
0-100,28,607
0-100,27,54
0-100,26,591
0-100,26,108
0-100,26,593
0-100,26,594
0-100,26,592
0-100,26,588
0-100,25,696
0-100,25,629
0-100,24,598
0-100,24,122
0-100,23,631
0-100,23,58
0-100,23,662
0-100,23,663
0-100,23,661
0-100,23,662
0-100,23,662
0-100,23,660
0-100,23,610
0-100,23,632
0-100,22,623
0-100,21,602
0-100,20,601
0-100,20,363
0-100,19,511
0-100,18,652
0-100,17,516
0-100,16,571
0-100,16,568
0-100,16,641
0-100,16,639
0-100,15,653
0-100,14,24
0-100,14,25
0-100,14,517
0-100,12,539
0-100,12,653
0-100,12,727
0-100,12,725
0-100,12,1
0-100,12,726
0-100,11,520
0-100,11,703
0-100,11,704
0-100,11,368
0-100,10,136
0-100,10,1
0-100,10,534
0-100,10,641
0-100,9,672
0-100,9,473
0-100,9,475
0-100,8,638
0-100,8,585
0-100,8,369
0-100,7,644
0-100,7,690
0-100,7,673
0-100,7,590
0-100,7,741
0-100,7,4
0-100,6,44
0-100,6,740
0-100,6,373
0-100,5,741
0-100,5,771
0-100,4,7
0-100,4,26
0-100,4,604
0-100,4,671
0-100,3,45
0-100,3,767
0-100,3,45
0-100,3,615
0-100,2,610
0-100,2,675
0-100,2,614
0-100,2,59
0-100,2,619
0-100,1,719
0-100,0,45
0-100,0,711
0-100,0,715
0-100,0,711
0-100,0,712
0-100,0,715
0-100,0,712
0-100,0,717
0-100,0,713
0-100,0,713
0-100,0,716
0-100,0,715
0-100,0,710
0-100,0,714
0-100,0,619
0-100,0,765
0-100,0,716
