Actual test,Predicted_value
159,91.81641688682416
7,90.81508842597013
27,95.15598760385208
136,106.77746640709722
110,248.69748090789633
1,95.97344716370296
181,166.2268664630583
71,331.18947687913794
129,93.5781366958397
25,174.11612100312024
89,135.81711656225855
187,90.27071844635218
103,91.75753949428693
61,94.73118159015644
108,129.65742936367172
12,96.82486837194213
294,93.66916655591734
2,90.66518117335528
17,95.095301030467
258,101.83797523037967
40,98.76683872026507
67,87.2619512601352
30,177.37331373676747
205,139.54934082544173
71,91.75753949428693
739,126.84652928631799
109,100.22331648150728
150,109.69042192958165
69,88.05565851779632
4,95.73251005101046
20,89.26938998549815
44,86.24414146719015
156,129.3843397834388
49,105.87363236048829
7,80.22230874746452
5,92.63921111521968
90,134.78544481471198
218,95.30770403731482
7,97.61379382594832
6,91.02930061366582
36,87.68972989663789
7,132.38832516600087
30,89.05698697865034
7,150.98875990853156
7,112.89448333040427
3227,150.11662292823294
98,159.88511954431615
6,121.96170508604337
130,94.94358459700427
4,93.76019641599497
5,134.54269852117162
60,79.91713360007489
70,93.76019641599497
43,102.6811227036035
124,142.12852019430812
106,94.03328599622789
56,91.150673760436
46,94.24568900307571
21,98.82752529365015
267,169.29153841900543
6,92.97127096198878
101,94.42774872323099
79,136.12054942918402
191,89.99762886611927
12,95.762853337703
157,71.21666013228689
105,92.8498978152186
1,84.98620475819425
4,92.51612166160058
48,90.99895732697328
21,96.18765935139865
57,110.17591451666237
93,98.94889844042035
31,82.95320454979367
125,97.67448039933342
129,148.13649095943225
120,89.33007655888325
10,92.21268879467513
54,96.09662949132101
13,87.96462865771868
117,128.50438446935496
7,94.3063755764608
77,105.48485545476558
41,99.2523313073458
12,91.557689879787
61,101.20704997601672
40,140.3382662794479
47,142.11692379800837
2,135.57437026871818
744,167.44263962967673
66,75.50261797802885
39,93.5174501224546
23,97.58345053925578
3,94.06362928292043
52,99.40404774080854
46,93.76019641599497
142,93.39607697568442
39,177.22159730330475
160,163.25322436718878
58,165.22553800220425
7,92.27337536806021
309,90.87577499935523
23,89.78522585927143
64,92.24303208136767
97,101.13361508228365
139,92.3947485148304
67,94.18500242969061
55,143.228696849025
42,93.85122627607261
13,102.89352571045133
69,94.12431585630553
911,151.80802864923032
19,109.599392069504
73,136.8184450231126
264,99.30863043316339
641,112.60450224246084
11,92.30371865475277
233,138.3659526444324
79,99.23473634100124
124,106.01888423978357
18,95.58079361754774
26,95.36839061069992
188,91.12033047374346
702,277.53059049373496
15,97.67448039933342
50,105.35133193254757
12,128.89884719635808
36,89.84591243265653
68,166.19652317636573
148,100.4964060617402
778,109.47801892273382
12,108.33925074785074
191,105.01755577892956
92,162.31258247971985
0,91.81822606767203
95,90.99895732697328
107,168.51105322622243
97,168.49038946993625
15,173.3575388358066
9,78.12687968521467
149,132.05454901238284
165,87.05433005694229
77,178.39452442676924
44,139.30659453190134
81,161.3112540188658
230,87.53538877719325
47,98.40091009910665
54,86.99183430270934
183,95.39873389739246
16,81.40569692847382
74,107.44501871433323
119,93.54779340914715
3,96.82486837194213
81,94.91324131031172
924,92.5702841508666
1,109.58706508091674
126,171.5065983475613
93,94.09397256961299
2,94.94358459700427
17,146.44508523843487
146,88.59705587460724
132,109.85428873849222
118,147.35538383921124
109,105.98415350552351
13,85.96439116167684
43,95.94491305785829
59,175.72431519782518
51,90.90792746689564
104,135.6350568421033
1,92.60715152167822
118,102.28665997660042
22,93.2443605422217
210,83.55832800318042
81,99.03992830049799
395,105.6972584616134
10,93.60847998253224
15,92.7892112418335
